SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE DOTHAN AL
MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH BOAZ AL
ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET FLORENCE AL
MIZELL MEMORIAL HOSPITAL,702 N MAIN ST OPP AL
CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE LUVERNE AL
ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE BIRMINGHAM AL
DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE FORT PAYNE AL
SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH ALABASTER AL
CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD BIRMINGHAM AL
HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE SHEFFIELD AL
DALE MEDICAL CENTER,126 HOSPITAL AVE OZARK AL
CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR CENTRE AL
BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD MONTGOMERY AL
JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET MONTGOMERY AL
EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY OPELIKA AL
WEDOWEE HOSPITAL,209 NORTH MAIN STREET WEDOWEE AL
UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET BIRMINGHAM AL
COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD TALLASSEE AL
CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157 CULLMAN AL
ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET ANDALUSIA AL
STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST ANNISTON AL
HUNTSVILLE HOSPITAL,101 SIVLEY RD HUNTSVILLE AL
GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE GADSDEN AL
MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH HAMILTON AL
FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH FAYETTE AL
RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET GADSDEN AL
GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE GEORGIANA AL
MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET ENTERPRISE AL
GREENE COUNTY HOSPITAL,509 WILSON AVENUE EUTAW AL
LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD DADEVILLE AL
FLOWERS HOSPITAL,4370 WEST MAIN STREET DOTHAN AL
ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE BIRMINGHAM AL
BIBB MEDICAL CENTER,208 PIERSON AVE CENTREVILLE AL
LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET MOULTON AL
HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD SCOTTSBORO AL
WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE GENEVA AL
RUSSELL HOSPITAL,3316 HIGHWAY 280 ALEXANDER CITY AL
MEDICAL CENTER BARBOUR,820 W WASHINGTON ST EUFAULA AL
CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270 ASHLAND AL
NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET ANNISTON AL
ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET ATHENS AL
SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET FOLEY AL
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE DECATUR AL
NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43 WINFIELD AL
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET MOBILE AL
WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST JASPER AL
PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD MOBILE AL
GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S GROVE HILL AL
D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST TUSCALOOSA AL
